#Classification	210222Fox_D21-2140_bracken_species.kreport2	210222Fox_D21-2142_bracken_species.kreport2	210222Fox_D21-2143_bracken_species.kreport2	210222Fox_D21-2144_bracken_species.kreport2	210222Fox_D21-2145_bracken_species.kreport2	210222Fox_D21-2146_bracken_species.kreport2	210222Fox_D21-2147_bracken_species.kreport2	210713Fox_D21-6682_bracken_species.kreport2	210713Fox_D21-6683_bracken_species.kreport2	210713Fox_D21-6684_bracken_species.kreport2	210713Fox_D21-6685_bracken_species.kreport2	210713Fox_D21-6686_bracken_species.kreport2	210713Fox_D21-6687_bracken_species.kreport2	210713Fox_D21-6688_bracken_species.kreport2	210713Fox_D21-6689_bracken_species.kreport2	210713Fox_D21-6690_bracken_species.kreport2	210713Fox_D21-6691_bracken_species.kreport2	210713Fox_D21-6692_bracken_species.kreport2	210713Fox_D21-6693_bracken_species.kreport2
k__Eukaryota|p__Microsporidia|f__Nosematidae|g__Nosema|s__Nosema_ceranae	0	12	16	14	12	15	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Microsporidia|f__Nosematidae|g__Nosema|s__Nosema_bombycis	0	46	24	34	20	20	11	0	11	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Microsporidia|f__Dubosqiidae|g__Hamiltosporidium|s__Hamiltosporidium_tvaerminnensis	25	54	40	27	30	33	19	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Microsporidia|f__Tubulinosematidae|g__Anncaliia|s__Anncaliia_algerae	39	83	85	71	65	57	31	15	0	0	15	0	0	0	0	0	14	0	0
k__Eukaryota|p__Microsporidia|g__Mitosporidium|s__Mitosporidium_daphniae	15	14	11	10	0	10	0	0	0	0	15	0	0	11	9	12	10	0	0
k__Eukaryota|p__Microsporidia|g__Nematocida|s__Nematocida_sp._1	17	51	35	39	22	18	16	0	0	0	0	10	0	0	18	0	15	0	0
k__Eukaryota|p__Microsporidia|f__Culicosporidae|g__Edhazardia|s__Edhazardia_aedis	55	127	122	136	83	70	64	0	12	11	17	12	10	12	11	0	11	0	0
k__Eukaryota|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mucoraceae|g__Mucor|s__Mucor_lusitanicus	49	143	108	105	63	65	72	24	32	35	35	40	46	34	37	26	53	28	23
k__Eukaryota|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Rhizopodaceae|g__Rhizopus|s__Rhizopus_delemar	77	164	134	135	74	86	64	18	21	31	14	15	19	24	19	13	27	15	16
k__Eukaryota|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Phycomycetaceae|g__Phycomyces|s__Phycomyces_blakesleeanus	150	283	232	266	159	154	135	51	43	66	88	84	91	64	67	80	104	37	60
k__Eukaryota|p__Chytridiomycota|c__Chytridiomycetes|o__Spizellomycetales|f__Spizellomycetaceae|g__Spizellomyces|s__Spizellomyces_punctatus	20	53	23	23	12	14	10	0	0	0	19	12	0	10	0	10	15	0	0
k__Eukaryota|p__Chytridiomycota|c__Chytridiomycetes|o__Rhizophydiales|g__Batrachochytrium|s__Batrachochytrium_dendrobatidis	530	1272	1160	834	1166	917	777	73	40	85	160	184	240	194	245	397	313	89	119
k__Eukaryota|p__Basidiomycota|c__Pucciniomycetes|o__Pucciniales|f__Melampsoraceae|g__Melampsora|s__Melampsora_larici-populina	92	188	146	169	105	108	92	42	37	55	58	48	44	35	49	46	47	38	38
k__Eukaryota|p__Basidiomycota|c__Pucciniomycetes|o__Pucciniales|f__Pucciniaceae|g__Puccinia|s__Puccinia_graminis	182	371	326	350	188	209	177	108	115	131	123	75	104	136	110	91	141	91	82
k__Eukaryota|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Psathyrellaceae|g__Coprinopsis|s__Coprinopsis_cinerea	29	78	65	59	36	27	26	12	13	19	17	0	0	15	28	12	15	0	0
k__Eukaryota|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Phanerochaetaceae|g__Phanerodontia|s__Phanerodontia_chrysosporium	31	83	36	52	27	37	33	10	13	13	31	25	28	23	25	29	35	26	18
k__Eukaryota|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Tremellaceae|g__Tremella|s__Tremella_mesenterica	30	119	82	60	36	21	41	16	15	24	38	32	32	18	12	14	17	28	13
k__Eukaryota|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae|g__Cryptococcus|s__Cryptococcus_gattii_VGII	0	18	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae|g__Cryptococcus|s__Cryptococcus_gattii_VGI	113	252	198	192	131	115	134	56	34	45	48	57	45	56	62	39	59	61	31
k__Eukaryota|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae|g__Cryptococcus|s__Cryptococcus_neoformans	214	426	333	389	262	215	182	118	125	119	117	110	81	134	100	67	137	84	115
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia|s__Malassezia_globosa	0	27	10	14	0	0	0	33	64	25	26	168	47	99	988	36	11	0	0
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia|s__Malassezia_restricta	41	401	168	200	77	81	31	670	365	126	465	291	146	173	1345	59	62	31	11
k__Eukaryota|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales|f__Ustilaginaceae|g__Ustilago|s__Ustilago_maydis	181	362	262	321	197	180	172	90	73	122	129	141	93	123	115	93	142	82	117
k__Eukaryota|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales|f__Ustilaginaceae|g__Sporisorium|s__Sporisorium_reilianum	27	101	61	77	51	49	40	23	15	27	33	35	24	34	21	17	29	23	15
k__Eukaryota|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales|f__Ustilaginaceae|g__Sporisorium|s__Sporisorium_graminicola	229	550	407	440	287	292	246	154	108	157	214	196	120	148	177	147	233	113	147
k__Eukaryota|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales|f__Pneumocystidaceae|g__Pneumocystis|s__Pneumocystis_jirovecii	28	115	61	83	39	42	31	0	34	0	0	0	0	0	0	0	15	0	22
k__Eukaryota|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales|f__Schizosaccharomycetaceae|g__Schizosaccharomyces|s__Schizosaccharomyces_octosporus	0	48	12	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales|f__Schizosaccharomycetaceae|g__Schizosaccharomyces|s__Schizosaccharomyces_japonicus	11	46	20	22	20	0	0	14	10	14	18	0	0	10	10	0	11	0	0
k__Eukaryota|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales|f__Schizosaccharomycetaceae|g__Schizosaccharomyces|s__Schizosaccharomyces_pombe	452	936	635	788	451	471	523	180	184	175	115	101	97	184	128	51	155	115	109
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Phaffomycetaceae|g__Komagataella|s__Komagataella_phaffii	11	45	28	33	16	20	20	0	0	13	0	0	0	0	0	0	11	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae|g__Yarrowia|s__Yarrowia_lipolytica	143	380	250	268	179	153	176	90	97	108	132	137	96	131	87	111	166	92	90
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Trichomonascaceae|g__Sugiyamaella|s__Sugiyamaella_lignohabitans	167	365	274	289	169	157	178	86	78	96	140	132	106	117	112	98	195	92	111
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Ogataea|s__Ogataea_parapolymorpha	10	20	10	0	14	17	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Brettanomyces|s__Brettanomyces_nanus	64	114	98	125	77	64	68	24	11	23	22	28	18	29	28	19	60	19	23
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Brettanomyces|s__Brettanomyces_bruxellensis	68	127	105	98	72	77	67	31	40	30	52	40	34	31	38	32	61	20	26
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_kudriavzevii	357	630	610	668	401	364	334	253	293	332	351	302	264	306	303	332	382	273	222
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Scheffersomyces|s__Scheffersomyces_stipitis	108	218	180	151	104	103	111	50	37	51	80	75	70	76	50	59	83	42	43
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_hansenii	190	295	328	337	215	196	204	0	0	85	118	81	83	78	58	85	147	83	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida_orthopsilosis	284	594	411	453	319	309	263	146	140	139	397	349	244	224	172	203	298	182	201
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida_albicans	544	916	841	849	552	531	490	253	255	323	553	423	377	365	306	403	509	270	309
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida_dubliniensis	1286	2334	2255	2070	1273	1222	1280	796	591	831	1107	1054	998	926	967	945	1391	709	704
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Lachancea|s__Lachancea_thermotolerans	18	68	33	33	17	25	19	0	0	10	0	0	12	0	13	0	13	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Zygotorulaspora|s__Zygotorulaspora_mrakii	35	113	71	83	51	60	59	0	21	12	45	34	23	37	30	30	40	22	25
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Nakaseomyces|s__[Candida]_glabrata	61	123	111	95	62	69	61	22	17	33	57	35	36	35	36	55	54	21	27
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Zygosaccharomyces|s__Zygosaccharomyces_rouxii	126	255	228	248	155	160	124	68	58	61	81	60	49	51	74	79	90	56	54
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Torulaspora|s__Torulaspora_globosa	11	26	12	19	0	11	15	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Torulaspora|s__Torulaspora_delbrueckii	119	178	104	118	93	35	62	43	25	46	58	45	53	35	24	51	84	0	22
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Eremothecium|s__Eremothecium_gossypii	21	53	40	41	23	35	27	0	0	12	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Eremothecium|s__Eremothecium_sinecaudum	18	66	44	33	35	34	20	0	0	0	0	0	0	0	0	0	0	13	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Eremothecium|s__Eremothecium_cymbalariae	135	252	224	217	142	154	148	51	36	60	105	120	121	62	59	91	127	66	79
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Kazachstania|s__Kazachstania_africana	115	275	75	166	56	76	129	17	10	11	26	20	20	10	30	11	13	10	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Kazachstania|s__Kazachstania_naganishii	131	267	193	182	158	132	114	37	42	37	74	52	58	47	55	88	77	48	35
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_paradoxus	89	181	191	182	71	125	107	14	17	30	75	66	58	31	21	73	63	26	29
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_eubayanus	125	245	203	218	154	143	106	20	66	56	71	52	58	56	65	71	75	45	55
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae	202	485	323	354	256	230	178	104	92	125	157	128	135	116	126	114	154	102	117
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Tetrapisispora|s__Tetrapisispora_blattae	197	475	378	376	217	231	215	75	52	65	110	83	115	78	106	96	129	67	80
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Tetrapisispora|s__Tetrapisispora_phaffii	285	595	553	523	341	362	272	56	61	58	154	123	146	96	81	161	139	76	97
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Kluyveromyces|s__Kluyveromyces_lactis	81	166	138	150	106	95	79	28	39	27	32	25	23	35	42	31	48	40	34
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Kluyveromyces|s__Kluyveromyces_marxianus	776	1587	1208	1382	853	820	734	453	422	505	552	523	538	542	510	470	601	425	472
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Naumovozyma|s__Naumovozyma_dairenensis	435	880	651	761	433	422	426	168	187	233	205	197	181	201	183	170	281	166	158
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Naumovozyma|s__Naumovozyma_castellii	740	1416	1151	1378	910	797	701	541	500	576	677	591	584	474	536	531	792	468	391
k__Eukaryota|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Cercospora|s__Cercospora_beticola	68	409	126	139	88	81	75	29	28	38	51	20	35	41	56	42	47	18	42
k__Eukaryota|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Zymoseptoria|s__Zymoseptoria_tritici	336	918	583	577	363	374	357	148	129	136	137	139	79	147	133	90	178	101	114
k__Eukaryota|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Sclerotinia|s__Sclerotinia_sclerotiorum	77	294	100	157	91	75	84	30	19	47	38	34	30	49	37	42	35	30	22
k__Eukaryota|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Botrytis|s__Botrytis_cinerea	5505	9740	8658	7849	6616	5587	6695	2504	2491	2825	2883	2674	2420	3284	2923	2242	3676	2460	2282
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Pyriculariaceae|g__Pyricularia|s__Pyricularia_oryzae	300	760	467	484	325	285	264	96	117	137	165	171	110	146	134	196	159	148	102
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Pyriculariaceae|g__Pyricularia|s__Pyricularia_pennisetigena	314	687	499	479	332	321	255	131	114	144	159	140	134	151	152	120	189	96	144
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Pyriculariaceae|g__Pyricularia|s__Pyricularia_grisea	385	839	620	598	360	350	341	117	122	135	133	139	117	122	126	82	173	108	99
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae|g__Sordaria|s__Sordaria_macrospora	43	277	64	61	40	40	43	0	19	26	24	30	22	26	37	31	52	12	21
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae|g__Neurospora|s__Neurospora_tetrasperma	18	184	65	57	36	30	27	21	15	21	18	30	24	15	14	25	16	15	15
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae|g__Neurospora|s__Neurospora_discreta	101	286	148	174	105	104	94	56	84	59	110	106	105	68	77	87	126	62	54
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae|g__Neurospora|s__Neurospora_crassa	597	1529	956	1034	613	742	644	279	271	286	391	318	298	371	369	257	485	256	280
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Thermothelomyces|s__Thermothelomyces_thermophilus	559	1570	911	960	607	619	622	260	231	326	341	332	278	307	331	324	403	253	268
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Thermothielavioides|s__Thermothielavioides_terrestris	904	2016	1368	1591	912	873	867	413	470	535	514	417	392	528	437	313	603	414	338
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Glomerellaceae|g__Colletotrichum|s__Colletotrichum_higginsianum	865	2557	1440	1637	1007	940	1004	426	516	548	645	532	557	619	498	509	780	418	461
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Hypocreaceae|g__Trichoderma|s__Trichoderma_reesei	34	290	44	67	32	37	46	40	25	23	47	42	40	26	38	20	75	21	32
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Clavicipitaceae|g__Pochonia|s__Pochonia_chlamydosporia	290	751	455	457	307	273	270	146	132	135	174	174	173	159	197	150	196	153	158
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Ophiocordycipitaceae|g__Drechmeria|s__Drechmeria_coniospora	315	889	555	622	380	350	308	186	174	192	162	177	139	163	211	154	209	131	133
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__Fusarium_oxysporum	274	736	265	477	192	213	265	89	94	223	155	167	132	140	240	239	273	125	160
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__Fusarium_fujikuroi	172	449	234	296	200	201	163	74	85	133	91	87	66	88	85	76	127	89	79
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__Fusarium_verticillioides	462	1087	861	794	567	643	511	292	285	270	478	411	419	327	417	468	547	280	282
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__Fusarium_graminearum	212	529	324	342	224	173	175	94	100	134	173	110	98	118	154	126	191	101	105
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__Fusarium_venenatum	419	1515	770	726	481	445	501	253	242	313	280	295	244	284	288	177	406	222	237
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__Fusarium_pseudograminearum	340	819	646	605	400	523	420	169	164	176	229	226	278	204	170	177	274	149	204
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae|g__Histoplasma|s__Histoplasma_capsulatum	51	743	96	115	81	57	62	34	40	36	67	38	43	40	32	50	69	33	32
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|g__Coccidioides|s__Coccidioides_immitis	17	186	19	31	0	20	11	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|g__Coccidioides|s__Coccidioides_posadasii	49	328	71	81	47	57	56	25	0	31	24	23	27	31	21	12	36	27	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae|g__Talaromyces|s__Talaromyces_marneffei	28	1005	22	33	29	37	23	0	0	29	0	0	0	0	35	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae|g__Talaromyces|s__Talaromyces_stipitatus	25	919	40	38	30	23	26	0	0	10	11	0	0	13	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae|g__Talaromyces|s__Talaromyces_rugulosus	599	3045	1007	1096	684	713	674	229	268	314	259	252	264	360	342	209	355	210	250
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_carbonarius	14	1500	23	35	28	23	17	0	14	0	16	0	0	0	20	14	14	0	16
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_nidulans	14	1379	30	35	23	28	31	0	0	0	0	0	0	0	12	0	14	0	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_clavatus	17	2748	30	22	21	14	18	0	0	10	30	0	23	15	0	12	31	14	11
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_fischeri	29	2571	38	43	29	30	34	15	0	0	0	0	0	19	0	0	0	14	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_fumigatus	65	1872	118	132	72	72	75	42	51	49	72	61	53	44	57	40	83	55	60
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_puulaauensis	272	3463	436	466	320	541	366	82	91	107	95	89	75	124	99	67	149	75	84
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_luchuensis	1861	9634	2914	2622	1857	1541	2066	810	1120	1075	1007	1141	1140	1431	1347	1157	1815	1091	928
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_terreus	11	2890	24	24	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_aculeatus	21	1979	46	53	26	24	27	14	10	0	13	12	15	26	21	12	16	10	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_niger	33	1611	52	73	36	28	29	15	13	18	15	17	15	26	17	16	0	17	19
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_flavus	40	312	149	53	112	224	78	27	0	34	35	54	50	36	54	30	19	0	24
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_oryzae	19630	43083	24625	29701	17757	17289	21352	5053	5114	5999	2927	3025	2704	5453	4807	2307	4913	4191	3713
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum_exile	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Candidatus_Endomicrobium_trichonymphae	0	0	10	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium_minutum	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminobacterium|s__Aminobacterium_colombiense	0	19	14	16	11	15	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia|o__Thermodesulfovibrionales|f__Thermodesulfovibrionaceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_yellowstonii	0	17	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia|o__Thermodesulfovibrionales|f__Dissulfurispiraceae|g__Dissulfurispira|s__Dissulfurispira_thermophila	0	21	17	21	16	13	12	12	0	10	0	0	0	0	15	0	0	0	0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_sp._TA1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium_geofontis	0	13	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator|s__Thermodesulfatator_indicus	0	25	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|f__Candidatus_Chazhemtobacteraceae|g__Candidatus_Chazhemtobacterium|s__Candidatus_Chazhemtobacterium_aquaticus	0	14	0	17	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela|s__Candidatus_Babela_massiliensis	0	19	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|g__Candidatus_Saccharimonas|s__Candidatus_Saccharimonas_aalborgensis	0	23	19	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellales|f__Kiritimatiellaceae|g__Kiritimatiella|s__Kiritimatiella_glycovorans	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter_succinogenes	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales|f__Melioribacteraceae|g__Melioribacter|s__Melioribacter_roseus	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales|f__Ignavibacteriaceae|g__Ignavibacterium|s__Ignavibacterium_album	0	11	0	11	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Atribacterota|c__Atribacteria|o__Atribacterales|f__Atribacteraceae|g__Atribacter|s__Atribacter_laminatus	11	19	13	21	12	14	0	0	0	0	11	10	0	0	0	0	0	0	0
